city,region,latitude,longitude,accuracy.meters,year,flag,inat.person,notes,hyperlink,ID
vancouver,BC,49.015196,-122.785947,NA,2022,,foooux,,https://www.inaturalist.org/observations/118474484,118474484
madison,wisconsin,43.112593,-88.917442,NA,2022,,sjnothhazen,,https://www.inaturalist.org/observations/147828790,147828790
kent county,michigan,43.089456,-85.691238,NA,2022,,allissac,,https://www.inaturalist.org/observations/123164856,123164856
swanton,ohio,41.581783,-83.860781,NA,2022,,camp_,,https://www.inaturalist.org/observations/119083692,119083692
ann arbor,michigan,42.282833,-83.717895,NA,2022,,patriciatorrespineda,,https://www.inaturalist.org/observations/97117157,97117157
union township,ohio,40.4604,-82.203453,NA,2022,,ryan_denee,,https://www.inaturalist.org/observations/122558408,122558408
zionville,north carolina,36.377409,-81.797263,NA,2022,,okgray,,https://www.inaturalist.org/observations/116686953,116686953
cleveland,ohio,41.316781,-81.604214,NA,2022,,briefkase,,https://www.inaturalist.org/observations/119469599,119469599
oxford,ontario,42.857778,-80.731944,NA,2022,,callmedani,,https://www.inaturalist.org/observations/120257935,120257935
elmira,ontario,43.624321,-80.561705,NA,2022,,wuwt2018,,https://www.inaturalist.org/observations/121646929,121646929
hamilton,ontario,43.385387,-80.368185,NA,2022,,sarah-pit,,https://www.inaturalist.org/observations/118773056,118773056
brampton,ontario,43.769614,-79.739114,NA,2022,,jonathan1384,,https://www.inaturalist.org/observations/119258402,119258402
innisfil,ontario,44.274457,-79.546372,NA,2022,,malg,,https://www.inaturalist.org/observations/119602486,119602486
markham,ontario,43.83587,-79.400421,NA,2022,,tttly422,,https://www.inaturalist.org/observations/123570391,123570391
fenwick,ontario,42.911667,-79.296389,NA,2022,,nikolett6ttn,,https://www.inaturalist.org/observations/118438610,118438610
oshawa,ontario,43.941804,-78.869636,NA,2022,,peterkikic,,https://www.inaturalist.org/observations/118100137,118100137
oshawa,ontario,43.941804,-78.869636,NA,2022,,peterkikic,,https://www.inaturalist.org/observations/118100137,118100137
paw paw,west virginia,39.538087,-78.454966,NA,2022,,osmunda,,https://www.inaturalist.org/observations/116221864,116221864
granger,new york,42.505923,-78.04632,NA,2022,possible coinfection,charleshappell,,https://www.inaturalist.org/observations/120033899,120033899
state college,pennsylvania,40.788387,-77.850128,NA,2022,,leilton,,https://www.inaturalist.org/observations/119689239,119689239
state college,pennsylvania,40.788387,-77.850128,NA,2022,,leilton,,https://www.inaturalist.org/observations/119689239,119689239
sharpsburg,maryland,39.49802,-77.837388,NA,2022,possible coinfection,chipp,,https://www.inaturalist.org/observations/121467613,121467613
frederick ,maryland,39.36787,-77.172645,NA,2022,leaf sympts,apgarm,,https://www.inaturalist.org/observations/119172753,119172753
lodi,new york,42.5519,-76.881089,NA,2022,,mccannjw,,https://www.inaturalist.org/observations/118871395,118871395
lodi,new york,42.5519,-76.881089,NA,2022,,mccanjw,,https://www.inaturalist.org/observations/118871395,118871395
ithaca,new york,42.438074,-76.489117,NA,2022,,giovvio,,https://www.inaturalist.org/observations/117950116,117950116
ithaca,new york,42.438074,-76.489117,NA,2022,,giovvio,,https://www.inaturalist.org/observations/117950116,117950116
ithaca,new york,42.451907,-76.451682,NA,2022,,savannahm1,,https://www.inaturalist.org/observations/127463026,127463026
ithaca,new york,42.451907,-76.451682,NA,2022,,savannahm1,,https://www.inaturalist.org/observations/127463026,127463026
lysander,new york,43.18365,-76.415903,NA,2022,,amanda1420,,https://www.inaturalist.org/observations/119313167,119313167
lysander,new york,43.18365,-76.415903,NA,2022,,amanda1420,,https://www.inaturalist.org/observations/119313167,119313167
philedelphia,pennsylvania,40.280462,-75.948743,NA,2022,,geisha666,,https://www.inaturalist.org/observations/117946486,117946486
mohnton,pennsylvania,40.280462,-75.948743,NA,2022,,geisha666,,https://www.inaturalist.org/observations/117946486,117946486
ottawa,ontario,45.515498,-75.442342,NA,2022,,sorensenje,,https://www.inaturalist.org/observations/119272907,119272907
bonshaw,prince edward island,46.196996,-63.352137,NA,2022,,alanmacleod,,https://www.inaturalist.org/observations/122462784,122462784
glenchristie,ontario,43.488062,-80.269573,274700,2022,,rookeac,coordinate precision low; obscured by user,https://www.inaturalist.org/observations/120207271,120207271
hidden springs,idaho,43.788975,-116.224438,274400,2022,,shinybub,coordinate precision low; obscured by user,https://www.inaturalist.org/observations/118312756,118312756
toronto,ontario,43.721034,-79.379055,39200,2022,,alrt,checked,https://www.inaturalist.org/observations/118814434,118814434
colden,new york,42.720269,-78.67671,27600,2022,,samuel_geo,coordinate precision low; obscured by user,https://www.inaturalist.org/observations/118819020,118819020
hamlin,new york,43.37866,-77.833357,27000,2022,,dcenterbar,coordinate precision low; obscured by user,https://www.inaturalist.org/observations/119264178,119264178
white rock,BC,49.022631,-122.786738,999,2022,,teambutterflies,revised coord precision based on written description,https://www.inaturalist.org/observations/118709263,118709263
silver star foothills,BC,50.318077,-119.244802,1890,2022,,megsolson,indoor photos; remove?,https://www.inaturalist.org/observations/121088542,121088542
great cacapon,west virginia,39.620092,-78.292509,1680,2022,,tinalyna,checked,https://www.inaturalist.org/observations/122963191,122963191
shickshinny,pennsylvania,41.079575,-76.133772,1290,2022,,mhess30,checked,https://www.inaturalist.org/observations/119809948,119809948
cuyahoya,ohio,41.281005,-81.567812,10270,2022,,casey489,checked,https://www.inaturalist.org/observations/140976655,140976655
fish creek,wisconsin,45.128975,-87.250488,6000,2022,,aaroneisler,checked,https://www.inaturalist.org/observations/121466055,121466055
toronto,ontario,43.721034,-79.379055,3920,2022,,alrt,checked,https://www.inaturalist.org/observations/118814434,118814434
bland,virginia,37.139259,-80.988663,3500,2022,,luv2hikva,checked,https://www.inaturalist.org/observations/116888663,116888663
bland,virginia,37.19776,-81.20795,3380,2022,,emily2598,checked,https://www.inaturalist.org/observations/117378233,117378233
fort drum,new york,44.04726,-75.752228,3100,2022,,michelepriest,checked,https://www.inaturalist.org/observations/121905591,121905591
cascade locks,oregon,45.613606,-122.014864,2900,2022,,xulua,checked,https://www.inaturalist.org/observations/122536154,122536154
springdale,ohio,39.236699,-84.526375,2800,2022,,whateverwatcher,coordinate precision low; obscured by user,https://www.inaturalist.org/observations/116794470,116794470
bradner,ohio,41.340823,-83.372428,2800,2022,marginal sympts,sunflower1953,checked,https://www.inaturalist.org/observations/117488462,117488462
gallatin county,montana,45.61474,-111.161395,2700,2022,,afidnotorchids,coordinate precision low; obscured by user,https://www.inaturalist.org/observations/122526470,122526470
peel,ontario,43.547837,-79.672267,2700,2022,,wild_explorer,coordinate precision low; obscured by user,https://www.inaturalist.org/observations/120599664,120599664
